accuracy,precision,recall,f1,n_classes,n_features,n_char_features,n_obs_train,n_obs_test,signal_train,signal_test,diff_train,diff_test,noise_train,noise_test,classifier,n_hidden_GNN,n_hidden_FC
0.4856,0.500173252533044,0.4856,0.486406078341917,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.4716,0.47162617742472,0.4716,0.47137559819158,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.4444,0.444446953642908,0.4444,0.444003694873798,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.4332,0.454727884825451,0.4332,0.438021613890048,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.43,0.456174009806263,0.43,0.434620619414437,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.3276,0.341359727776707,0.3276,0.304403487346198,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.306,0.337526726908838,0.306,0.305827687893662,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.3036,0.332048332452953,0.3036,0.302013834366861,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.3016,0.34959881459053,0.3016,0.2868748125782,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.2904,0.333448773808038,0.2904,0.264693418699024,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.286,0.290434844487,0.286,0.286540776329537,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.2656,0.271863657982718,0.2656,0.264884403287984,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.2616,0.26977446828718,0.2616,0.259394619941409,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.2608,0.261929900513296,0.2608,0.258625583831179,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.2588,0.266118910547557,0.2588,0.251984376726612,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.2496,0.255485192076267,0.2496,0.250741717054102,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.2484,0.266527592532737,0.2484,0.252160021130722,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.2468,0.264590401149689,0.2468,0.224842498557313,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.2432,0.258807959176894,0.2432,0.240906503717626,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.2412,0.240592484985371,0.2412,0.240624172327743,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.238,0.235768298913813,0.238,0.235175245544549,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.2332,0.256396360941586,0.2332,0.237443465498919,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.232,0.232594065810816,0.232,0.231579281898081,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.2308,0.254507833668977,0.2308,0.230450746492683,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
